IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
198.181.46.60,20142,TRUE,LAX,北美洲,美国洛杉矶,146 ms,10946 kB/s
67.209.183.236,443,TRUE,LAX,北美洲,美国洛杉矶,204 ms,10927 kB/s
104.225.145.170,443,TRUE,LAX,北美洲,美国洛杉矶,202 ms,10834 kB/s
23.105.202.93,9443,TRUE,LAX,北美洲,美国洛杉矶,158 ms,10821 kB/s
104.194.72.66,33073,TRUE,LAX,北美洲,美国洛杉矶,202 ms,10766 kB/s
172.93.32.189,443,TRUE,YVR,北美洲,Vancouver,167 ms,10749 kB/s
65.49.210.96,443,TRUE,LAX,北美洲,美国洛杉矶,179 ms,10562 kB/s
65.49.193.13,55555,TRUE,LAX,北美洲,美国洛杉矶,210 ms,10419 kB/s
67.209.179.237,30419,TRUE,LAX,北美洲,美国洛杉矶,179 ms,9993 kB/s
107.182.30.199,443,TRUE,LAX,北美洲,美国洛杉矶,177 ms,9958 kB/s
98.142.139.146,10004,TRUE,LAX,北美洲,美国洛杉矶,205 ms,9916 kB/s
66.112.208.37,443,TRUE,LAX,北美洲,美国洛杉矶,176 ms,9892 kB/s
65.49.195.163,14828,TRUE,LAX,北美洲,美国洛杉矶,204 ms,9852 kB/s
96.45.186.13,33473,TRUE,LAX,北美洲,美国洛杉矶,202 ms,9693 kB/s
65.49.193.44,15200,TRUE,LAX,北美洲,美国洛杉矶,202 ms,9485 kB/s
104.194.71.68,8088,TRUE,LAX,北美洲,美国洛杉矶,145 ms,9431 kB/s
144.34.250.149,88,TRUE,LAX,北美洲,美国洛杉矶,175 ms,9347 kB/s
45.62.126.23,3443,TRUE,HKG,亚太,香港,145 ms,9195 kB/s
93.179.115.67,3083,TRUE,LAX,北美洲,美国洛杉矶,203 ms,8886 kB/s
98.142.143.170,10041,TRUE,LAX,北美洲,美国洛杉矶,204 ms,8768 kB/s
65.49.222.225,10399,TRUE,LAX,北美洲,美国洛杉矶,202 ms,8683 kB/s
97.64.20.49,10341,TRUE,LAX,北美洲,美国洛杉矶,172 ms,8547 kB/s
65.49.192.225,58564,TRUE,LAX,北美洲,美国洛杉矶,204 ms,8515 kB/s
65.49.197.29,20443,TRUE,LAX,北美洲,美国洛杉矶,209 ms,8500 kB/s
104.225.159.159,443,TRUE,LAX,北美洲,美国洛杉矶,177 ms,8472 kB/s
98.142.143.170,10040,TRUE,LAX,北美洲,美国洛杉矶,205 ms,8450 kB/s
67.209.182.124,443,TRUE,LAX,北美洲,美国洛杉矶,206 ms,8448 kB/s
45.78.1.88,443,TRUE,LAX,北美洲,美国洛杉矶,177 ms,8376 kB/s
172.93.42.18,443,TRUE,LAX,北美洲,美国洛杉矶,204 ms,8316 kB/s
144.34.191.46,17777,TRUE,LAX,北美洲,美国洛杉矶,202 ms,8271 kB/s
172.93.42.181,50080,TRUE,LAX,北美洲,美国洛杉矶,200 ms,8238 kB/s
172.96.192.207,49399,TRUE,LAX,北美洲,美国洛杉矶,208 ms,8219 kB/s
